annotated_name,species_name
akamatus,akamatus
albemarlensis,albemarlensis
albermarlensis,albemarlensis
cf. albemarlensis,sp_nov_CA
cf._albemarlensis,sp_nov_CA
cf_albemarlensis',sp_nov_CA
cf_albemarlensis,sp_nov_CA
amastroides,amastroides
cf. amastroides',amastroides
cf. amastroides,amastroides
cf._amastroides,amastroides
cf_amastroides,amastroides
basiplicatus,basiplicatus
CF. BASIPLACATUS,
cf.basiplicatus,
cf. basiplicatus,
cfbasiplicatus,
bauri,bauri
calvus,calvus
canaliferus,canaliferus
canaliferus 1,canaliferus
canaliferus_1,canaliferus
canaliferus 2,canaliferus
cavagnaroi,cavagnaroi
chemnitzioides,chemnitzioides
Chemnitizoides,chemnitzioides
darwini,darwini
eos,eos
eschariferus,eschariferus
hirsutus,hirsutus
CF. HIRSUTUS,hirsutus
cf  hirsustus,hirsutus
cf hirsustus,hirsutus
cf. hirsutus,hirsutus
cfhirsutus,hirsutus
invalidus,invalidus
invalidus 1,invalidus
invalidus_1,invalidus
invalidus 2,
cf.invalidus,
cf. invalidus,
cfinvalidus,
jacobinus,jacobinus
lycodus,lycodus
nuciformis,nuciformis
nucula,nucula
nux,nux
cf. nux,
cf._nux',
cf_nux,
ochsneri,ochsneri
olla,olla
perspectivus,perspectivus
perspectivus 1,
perspectivus 2,perspectivus
perspectivus_2,perspectivus
cf. perspectivus,perspectivus
cf._perspectivus,perspectivus
cf_perspectivus,perspectivus
planospira,planospira
rabidensis,rabidensis
reibischi,reibischi
rugiferus,rugiferus
sculpturatus,sculpturatus
sculpturatus 1,sculpturatus
sculpturatus_1,sculpturatus
sculpturatus_2,
sculpturatus 2,
sculpturatus 3,
simrothi,simrothi
simrothi 1,simrothi
simrothi_1,simrothi
simrothi 2,
snodgrassi,snodgrassi
spp1,sp. nov. Darwin 1
spp11,pinzonopsis
spp12,sp. nov. pinzon 1
spp13,sp. nov. Pinta 2
sp._nov._Pinta_2',sp. nov. Pinta 2
sp._nov._Pinta_2,sp. nov. Pinta 2
sp_nov_Pinta_2,sp. nov. Pinta 2
spp14,sp_nov_CH
spp15,rugulosus
spp2,sp. nov. Volcan Wolf 3
spp3,pallidus
spp4,perrus 1
spp6,ventrosus
spp7,approximatus
spp8,sp_nov_CA
spp9,pinzonensis
tanneri,tanneri
tortuganus,tortuganus
cf. tortuganus,tortuganus
cf._tortuganus,tortuganus
cf_tortuganus,tortuganus
unifasciatus,unifasciatus
ustulatus,ustulatus
ustulatus pallescens,ustulatus
ustulatus phlegonis,ustulatus
ustulatus mahogany,ustulatus
wolfi,wolfi
wolfi 1,wolfi
wolfi_1,wolfi
wolfi_2,
wolfi 2,
wolfi 3,
wolfi garrapatero,wolfi
wolfi occidente,wolfi
nux basiplicatus SL,
AL sp.2,
AL sp.3,
asperatus,
cf perspectivus FL,
cf. nesioticus 'little',
cf. nesioticus SC E,
cf. nesioticus SC W,
nesioticus,
curtus,
eschariferus ventrosus,
indefatigabilis,
nilsodhneri,
pallidus,pallidus
perrus 1,perrus 1
perrus_1,perrus 1
perrus 2,
pinzonensis,pinzonensis
pinzonopsis,pinzonopsis
rugatinus,
sp nov Pinzon,sp. nov. pinzon 1
unknownblack,
Brantsnail Clade,
Brown guys,
CF. RUGULOSUS,
LITTLE BLACK,
NAESIOTUS SP.,
NESIOTICUS,
NOT WOLFI,
NOT reibischi (NSP2?),
Naesiotus sp.,
Sp. 2,
TRUE REIBISCHII?,
WEIRD SNAIL,
achatellinus,
achtinellus,
approximatus,approximatus
calvus caryonis,
chato black,
elaeodes,
hemaerodes,
"little Black, Garrapatero",
olla jacobinus*,olla
perspectivus/canaliferus??,
sp. nov. Alcedo 1,
sp. nov. Darwin 1,sp. nov. Darwin 1
sp._nov_Darwin_1,sp. nov. Darwin 1
sp_nov_Darwin_1,sp. nov. Darwin 1
sp. nov. Darwin 2,
sp. nov. Pinta 1,
sp. nov. Pinta 2,sp. nov. Pinta 2
sp. nov. Volcan Wolf 1,
sp. nov. Volcan Wolf 2,
sp. nov. Volcan Wolf 3,sp. nov. Volcan Wolf 3
sp. nov. pinzon 1,sp. nov. pinzon 1
sulcatus (yellow nux),
testing Pinta divergence,
ventrosus,ventrosus
cf_reibischi,reibischi
cf._reibischi,reibischi
sp_nov_CA,sp_nov_CA
rugulosus,rugulosus
